ID,Description,Entry_ID,Comment,Synonym,alt_translation1,alt_translation2
SN000172,"friendly, sociable, make friends easily (f)",amiguera,,,amiguera,"cumbashca, amiguera"
SN000173,get together among friends,amigueriana,,,reunir entre amigos,"tandanajuna, cumbacunahuan"
SN000174,"friendly, sociable, make friends easily",amigueriashca,,amiguera ; amiguero,"amiguera, amiguero",cumbashca
SN000175,"friendly (m), sociable (m), make friends easily (m)",amiguero,"Se encuentra frecuentemente después del articulo de español ""un"".",,amiguero,"cumbashca, amiguero"
SN000176,"cushion, soften, break down",amortiguana,,,"amortiguar, dañar","upayana, huaglina"
SN000177,"show, show off, let something be seen",amotrana,Se encuentra a menundo con el reflexivo -ri.,motrana ; vichina,"mostrar, indicar",ricuchina
SN000178,anaco - a specific type of skirt made of wool worn by many Quichua women in the Andes,anaco,,baita ; LX000033 ; sabana,"anaco, centro, falda de lana",anacu
SN000179,illiterate,analfabeto,,,analfabeto,analfabeto
SN000180,fox,LX000007,,zorro,zorro,añan
SN000181,"How nice!, how pretty!, how good-looking!",ananay,,,"qué lindo!, qué bonito!, qué hermoso!, ananay!",ananay!
SN000182,wide,ancho,,,ancho,anchu
SN000183,"leave, go away",anchurina,,quichuna ; quitana ; retirana,"quitar, alejarse","anchurina, llucshina"
SN000184,"anxiety (have), stressed (be)",anciarina,,,tener ansia,anciarina
SN000185,"walk, go, get around, be, go about",andana,,,"andar, caminar, ser",purina
SN000186,anemia,anemia,,,anemia,animia
SN000187,"trilby hat (similar to), derby hat (similar to)",angara_palo_muchigu,Tipo de sombrero usado en la región andina.,angara_palo_muchigu ; sombrero,sombrero,angara muchiju
SN000188,"dehydrate, preserve, not go bad",anguyana,,,"deshidratar, preservar, no dañar",anguyana
SN000189,muehlenbeckia tamnifolia (scientific name),anguyuyu,Hierba medicinal tradicional de la región.,,"anguyuyu, muelán",anguyuyu
SN000190,"ring, wedding ring",anillo,,,"anillo, aro",anillu
SN000191,animal,animal,,,animal,huihua
SN000192,motivate,animana,,,animar,cushichina
SN000193,encouragement,animo,,,ánimo,shinchi
SN000194,anise,anis,,,anís,anis
SN000195,Anita,Anita,Nombre propio (persona).,,Anita,Anita
SN000196,year,LX000008,,,año,huata
SN000197,"write down, take note",anotana,,,anotar,quilcana
SN000198,"spacious, large, wide, ample",anplio,,,"amplio, grande",jatun
SN000199,ancestral,ansestral,,,"ancestral, antiguo",ñaupacuna
SN000200,anxious,ansia,,,"ansia, ansioso","ansia, antsioso"
SN000201,Antamba,Antamba,Apellido.,,Antamba,Antamba
SN000202,the day before yesterday,ante_ayer,,,"anteayer, antes de ayer",cayandi
SN000203,ancestor,antepasado,,antipasashca,antepasado,"ñaupacuna, antepasadu, punta tiempu"
SN000204,previous,anterior,,,anterior,cayna
SN000205,before,antes,,,antes,"ñaupa, nara"
SN000206,before + verb + ing,antes_de,Adverbio que casi siempre va seguido por un verbo en infinitivo del español (ej.: antes de comer).,,antes de,~antes de
SN000207,before,antespacha,,,antes,ashtahuan punta
SN000208,"ancient (f), old (f)",antigua,,,antigua,"antigua, punta tiempu (huarmipa)"
SN000209,"formally, in the past",antiguamente,,,antiguamente,ñaupa pacha
SN000210,"ancient (m), old (m)",antiguo,"La palabra ""antigua"" se encuentra con mayor frecuencia.",,antiguo,"antiguo, punta tiempu (jaripa)"
SN000211,ancestor,antipasashca,,,antepasado,"ñaupacuna, antepasadu, punta tiempu"
SN000212,Antonio,Antonio,Nombre propio (persona).,,Antonio,Antonio
SN000213,turn off,apagana,,,apagar,huañuchyna
SN000214,appear,aparesena,,,aparecer,ricurina
SN000215,"apart, separate",aparte,,,aparte,chican
SN000216,"last name, surname, family name",apellido,,,apellido,"apellidu, allyu shuti"
SN000217,"as soon as, barely",apenas,,chayra ; recien,"apenas, recién","chaylla, chaira"
SN000218,soup (traditional type of),api,,boda ; colada ; masamorra ; sopa,colada,"api, boda"
SN000219,flatten,aplanana,,,aplanar,"llanbuyachina, aplanana"
SN000220,"smash, crush",aplastana,,,aplastar,apiyachina
SN000221,contribution,aporte,,,aporte,"cuna, aporte"
SN000222,bet,apostana,,,apostar,apostana
SN000223,"support, help out",apoyana,,sostenena,"apoyar, ayudar",ayudana
SN000224,learn,aprendina,,LX000087,aprender,"yachana, aprendina"
SN000225,"succeed, pass (e.g. an exam)",aprobana,,,aprobar,aprobana
SN000226,"exploited, taken advantage of",aprobechado,,,aprovechado,"aprobechashca, anciusu"
SN000227,"shoot, aim",apuntana,,,"apuntar, disparar",apuntachina
SN000228,"hurry (in a), hurried, pressed for time",apurado,,,"apurado, rápido","apuros, apurado, utsia, ligero"
SN000229,"hurry, hurry up, hasten",apurana,,,"apurar, ir rápido","apurana, utisana"
SN000230,"rush, hurry",apuro,,,apuro,"apurus, utsia"
SN000231,here,aqui,,,"aquí, acá",caypi
SN000232,what time (at)?,aquioras,"Palabra compuesta derivada del español: ""a + qué + horas"". Se encuentra casi siempre con el pluralizador del español ""s"".",,a qué horas?,imauras?
SN000233,plow (plough),arado,,,arado,"yapuy, caspi yapuy, aradu"
SN000234,plow (plough),arana,,,arar,yapuna
SN000235,spider,LX000009,,,araña,araña
SN000236,"pull out, pull apart",arancana,,,"arrancar, pedacear, trozar",fitina
SN000237,tree,arbol,,,árbol,quiru
SN000238,rainbow,arcoiris,,,arco iris,cuichi
SN000239,sand,arena,,,arena,"arena, jarena"
SN000240,rent,arendana,,,arrendar,arendana
SN000241,"earrings, ear tag",arete,,candonga ; sarcillus,"aretes, marca auricular",zarcillus
SN000242,ear tag (e.g. an animal),aretiachina,,,aretear (ej. a una vaca),aretiachina
SN000243,"area, space",aria,,llanu ; pamba,"área, espacio","aria, pamba"
SN000244,flour,arina,,,harina,jacu
SN000245,armadillo,armadillo,,,armadillo,armadillu
SN000246,"sieve, strainer",arnero,,,"harnero, cedazo, cernidor",jarrneru
SN000247,aromatic,aromatico,,,aromático,jambiyacu (upyaylla)
SN000248,"ouch!, it's so hot!",arrarray,Palabra usada como exclamación cuando se tiene contacto con algo caliente (ej.: Una mano topando una olla caliente).,rupay,"qué calor!, arrarray!","arrarray!, rupana"
SN000249,myrtle,arrayan,,,arrayán,arrayan
SN000250,"arrange, fix up, tidy up",arreglana,,solucionana,"arreglar, solucionar","acomodana, alichina, arreglana"
SN000251,"landlord, lessor",arrendador,,,arrendador,arrendador
SN000252,rent,arrendo,,,arriendo,arrendo
SN000253,"herd, drive (e.g. cattle)",arriana,,,arrear,jarriana
SN000254,"up, above, upward",arriba,,,arriba,jahua
SN000255,"lean against, lean back",arrimana,,,arrimar,taunarina
SN000256,at sign,arroba,"Como símbolo ""@"" usado en los correos electrónicos.",,arroba,arroba
SN000257,rice,arros,,,arroz,arros
SN000258,barley rice,arrozfala,,,arroz de cebada,arrozfala
SN000259,"a lot, many, much",arshta,,bastante ; tauca,"mucho, bastante, harta","achia, achca, tauca"
SN000260,"a lot, many, much",arshto,,bastante ; tauca,"mucho, bastante, harto","achia, achca, tauca"
SN000261,"handicraft, craft",artesaniya,,manualidades,artesanía,artesaniya
SN000262,"ton (a), many (so), much (so)",artisimo,"Aumentativo de ""arshto"".",bastantisimo,hartísimo,"achiasapa, achcasapa, taucasapa"
SN000263,oil,asaite,,,aceite,"aceite, ~huira"
SN000264,"roast, grill",asana,,,asar,cusana
SN000265,"settler, colonizer, landowner",asendado,,,hacendado,amo
SN000266,"register, appear",asentachina,,,"registrar, constar",asintachina
SN000267,junk,aseru,,,"acero, pedazo de hierro",hierro
SN000268,"like this, like that, so",asi,,,"así, entonces",shina
SN000269,"association, partnership",asociacion,,,"asociación, organización",asuciasiun
SN000270,"affiliated, associated, social security (pay)",asociado,,,"afiliado, asociado",asociadu
SN000271,"show up, appear",asomana,,,asomar,ricurina
SN000272,panela,atado,,,"panela, atado de dulce",atadu
SN000273,Atahualpa,Atahualpa,Nombre de un sector en la parroquia de González Suárez.,,Atahualpa,Atahualpa
SN000274,"halt, head off",atajana,,,"atrancar, atajar","jarcana, na yalichina"
SN000275,"heart attack, brain aneurysm, epileptic seizure",ataqui,,,"infarto, ataque, epilepsia, aneurisma cerebral",ataqui
SN000276,disgusting!,atatay,,,"qué asco!, atatay!",atatay!
SN000277,"cater, serve, attend to",atendena,,,atender,atendina
SN000278,"get right, understand",atinana,,,atinar,atinana
SN000279,"will not listen, does not listen",atipana,,,no hacer caso,nacatsuna
SN000280,"trap, catch, lock, get stuck",atrancana,"Se encuentra a menudo con el reflexivo ""-ri"".",atrasana,"atrapar, trancar, atrancar, trabar",trancana
SN000281,behind,atras,,,atrás,huasha
SN000282,"late (be), run late",atrasana,"Se encuentra a menudo con el reflexivo ""-ri"".",atrancana ; retasiana,atrasar,"jipayana, atrasrina"
SN000283,"lateness, delay, late person",atrasos,,,"atraso, tardanza",huashayashca
SN000284,"do, make",atsina,,,hacer,rurana
SN000285,tuna fish,atun,,,atún,atun
SN000286,Atuntaqui,Atuntaqui,Ciudad en la provincia de Imbabura.,,Atuntaqui,Atuntaqui
SN000287,little needle,aujita,,,"aguja pequeña, agujita",aujagu
SN000288,"increase, rise (be on the), growing (e.g. crime)",aumentana,,,"incrementar, aumentar (ej. delincuencia)",mirachina
SN000289,"before, not yet",auno,"Palabra compuesta derivada del español: ""aún + no"".",,"antes, no todavía, aún no","nara, ñaupa"
SN000290,"even though, although, even if",aunque,,,aunque,nima
SN000291,"even if it is/were, although it is/was",aunquesea,"Expresión derivada del español: ""aunque + sea"".",masqui,aunque sea,"masqui, shina"
SN000292,"now, nowadays, today",aura,,,"ahora, hoy en día, hoy","cunan, cunan punlla"
SN000293,right now,auryta,,,ahorita,cunangu
SN000294,car,auto,"Es más común encontrar: ""carro"".",,"auto, carro",antahua
SN000295,"have enough (e.g., money), move, afford",avansana,,,"avanzar, alcanzar",ñaupana
SN000296,"advanced, made progress",avanzado,,,avanzado,ñaupashca
SN000297,oats,avena,,,avena,avena
SN000298,"let's see, okay",averr,"Expresión fija derivada del español: ""a + ver"".",,"a ver, bueno",jala
SN000299,sometimes,aveses,"Palabra compuesta derivada del español: ""a + veces"".",,a veces,huaquinpi
SN000300,"information, news",avitsacuna,,noticiascuna,"información, noticias",villaycuna
SN000301,"inform, notify, let know",avitsana,,,avisar,villana
SN000302,"from there, hence",ay,"Las palabras compuestas ""diay"" y ""diaymanta"" son más comunes de encontrar que ""ay"".",,"de ahí, desde ahí (~ahí, ~allá)",chaymanda
SN000303,ouch!,ayau,,,"ayau!, ayayay!",nanay!
SN000304,ouch!,ayayay,,,ayayay!,ayayay!
SN000305,yesterday,ayer,,,ayer,cayna
SN000306,"godchild, god son",ayjado,,,ahijado,achiguhua
SN000307,helper,ayudador,,ayudante,ayudante,ayudador
SN000308,help,ayudana,,,ayudar,"aidana, yanapana"
SN000309,helper,ayudante,,ayudador,ayudante,ayudador
SN000310,hoe (garden tool),azadon,,,azadón,"pala, azadun"
SN000311,sugar,azucar,,,azúcar,mishqui
SN000312,blue,azul,,,azul,azul
SN000313,bluish,azulado,,,azulado,azulashca
SN000314,Babahoyo,Babahoyo,Capital de la provincia de Los Ríos.,,Babahoyo,Babahoyo
SN000315,"slime, drool, saliva, sap",babas,"Se encuentra casi siempre con el pluralizador del español ""s"".",,"babas, saliva",babas
SN000316,slug,babosa,,,babosa,babusa
SN000317,"slimy, drooly, slippery",baboso,,,baboso,llanbu
SN000318,empty,baciana,"Se encuentra a menudo con el reflexivo ""-ri"".",,vaciar,lugariachina
SN000319,lazy (m),baga,,,vaga,baga
SN000320,lazy (f),bago,,,vago,bagu
SN000321,dancer (m),bailador,,,bailador,"tushudor (jaripa), bailador (jaripa)"
SN000322,dancer (f),bailadora,,vailandera,bailadora,"tushudora (huarmipa), bailadora (huarmipa)"
SN000323,dance,bailana,,,bailar,tushuna
SN000324,cloth (thick) made of wool,baita,Tejido de lana usado anteriormente para hacer anacos.,anaco ; sabana,"lienzo, sábana, bayeta, anaco, tela gruesa hecha de lana",baita
SN000325,"lower, come down from",bajana,"Se encuentra a menudo con el causativo ""-chi"".",,bajar,uriana
SN000326,"lower, below, down",bajo,"Se encuentra frecuentemente en expresiones y palabras compuestas (e.j.: Pijal bajo, bocabajo, sector bajo).",,bajo,"bajo, urai"
SN000327,balanced feed (for animals),balanciadu,,cutana ; molishca,balanceado,balanciadu
SN000328,bucket,balde,,,balde,baldi
SN000329,measurement (size of a fist),bale,El tanto de una porción o el tanto que equivale a un puño/ puñado.,,medida (tamaño de un puño),medida (maquishna)
SN000330,"matter, cost, important (be), good (be)",balina,,,"valer, costar, importar (importancia)",balina
SN000331,let's go!,bamochi,"Expresión derivada del español ""vamos"" y del quichua ""-nchi"". La 's' y la 'n' se pierdan para evitar el grupo consonántico /snʧ/.",bamos,vamos!,jacuchi!
SN000332,let's go!,bamos,"Expresión derivada del español ""vamos""; esta palabra no adquiere morfología.",bamochi,vamos!,jacu!
SN000333,"shower, bathe",LX000010,"Se encuentra a menudo la palabra ""armachina"" del quichua.",,bañar,armachina
SN000334,bank,banco,,,banco,bancu
SN000335,development bank,banco_de_fomento,,,Banco de Fomento,banco de fomento
SN000336,band (musical),banda,,musica ; orquesta,banda,"tunu, mistica, musica, banda"
SN000337,flag,bandera,,,bandera,bandera
SN000338,bath,LX000011,,,baño,"baño, armay"
SN000339,bar (e.g. drinks),bar,,,bar,ishtancu
SN000340,"bar, stick",bara,,,"vara, palo","bara, kaspi palo"
SN000341,cheap (very),baratisimo,"Aumentativo de ""barato"".",,baratísimo,baratu baratu
SN000342,"inexpensive, cheap",barato,,,barato,baratu (jaripa)
SN000343,beard,barbas,"Se encuentra casi siempre con el pluralizador del español ""s"".",,barba,barbas
SN000344,"bar (e.g. metal), rod, stick",barra,,,barra,barra
SN000345,stomach,barriga,,,barriga,vicsa
SN000346,sweep,barrina,,,barrer,fichana
SN000347,clay,barro,,,barro,alpa
SN000348,basting (e.g. part of pants),basta,,,bastas (ej. de los pantalones),basta (calsonpac)
SN000349,"a lot, many, much",bastante,,arshta ; tauca,bastante,"achia, achca, tauca"
SN000350,"ton (a), so many, so much",bastantisimo,"Aumentativo de ""bastante"".",artisimo,bastantísimo,achia achia
SN000351,"cane, walking cane, walking stick",baston,,,bastón,tauna
SN000352,garbage,basura,,,basura,jupa
SN000353,long wooden bowl,batia,,,batea,batia
SN000354,shake,batina,,,batir,cabina
SN000355,trunk,baulo,,,baúl,baulo
SN000356,baptize,bautizana,,,bautizar,bautizana
SN000357,baptism,bautizo,,,bautizo,bautizo
SN000358,dance,bayle,,,baile,tushuy
SN000359,drink,bebina,,,"beber, tomar (líquido)",ufiana
SN000360,candle,bela,,,vela,espelma
SN000361,"give up, resign, defeat",bencena,,,"renunciar, vencer",benserina
SN000362,blessing,bendision,,,bendición,vendisiun
SN000363,"blessed, lucky",bendito,,,"bendito, único",bendito
SN000364,"male big, boar",berraco,Proviene de una palabra antigua del español que significa cerdo.,,verraco,jari cuchi
SN000365,watercress (plant),berru,,,berro,berru
SN000366,stream,bertiente,,,vertiente,pucyu
SN000367,kiss,beso,,mucha,beso,mucha
SN000368,"Geesh!, my God!",bestia,,,"bestia!, qué bestia!, qué horror!",mamitau! jala!
SN000369,"animal, horse",LX000012,,,"animal, caballo, bestia","bishtia, huihua, caballo"
